id,user_description,user_location,text,id_str,created,retweet_count,city,date,text_eng,neg,neu,pos,compound,sentiment
394,"Open, eerlijk , transparant","amsterdam, nederland",vanaf 15 mei quarantaineplicht bij aankomst uit risicogebied /via hoi 🙋‍♂️ hoi 🙋‍♀️ politie 👮‍♀️ staat . kunnen we misschien deze corona-terroristen opsluiten of minimaal voorzien van een enkelband. en de buren inlichten en belonen bij verlinken 😂😂,1382689775170289666,2021-04-15 13:38:26,0,Amsterdam,2021-04-15,"from 15 May, quarantine obligation upon arrival from risk area / via hi 🙋‍♂️ hi 🙋‍♀️ police 👮‍♀️ state. maybe we can lock up these corona terrorists or at least provide them with an ankle bracelet. and inform the neighbors and reward them when they are linked 😂😂",0.115,0.816,0.069,-0.3612,negative
793,"Observing this #plutocracy. Gezondheid lijkt vanzelfsprekend, tot je die verliest. #LongCovid #PASC since the 8th march 2020 #MECVS diagnose Jan 2021 #ZeroCovid","van galenbuurt, amsterdam",hier heb ik een half jaar moeten wachten op een nieuwe indicatie. omdat de gemeente te laat was en geen mogelijkheid zag. paar maand geen hulp gehad mede vanwege corona.,1382679111039123456,2021-04-15 12:56:03,0,Amsterdam,2021-04-15,here I had to wait six months for a new indication. because the municipality was late and saw no possibility. few months had no help partly because of corona.,0.141,0.772,0.087,-0.1779,negative
797,• vrouw • liberaal •,'s-gravenhage & utrecht,voor een zelftest naar een particuliere teststraten? #coronadebat,1382678924954591236,2021-04-15 12:55:19,0,Utrecht,2021-04-15,for a self-test to a private test lane? #coronadebat,0.0,1.0,0.0,0.0,neutral
803,Kan niet tegen onrecht Probeer de waarheid te vinden tussen alle leugens en geef om de wereld.,"utrecht, nederland","er snel nog even een miljard doorheen jassen, waar arm nederland straks voor mag bezuinigen! waar blijft de parlementaire enquête betr. de mensenlevens kostende corona-aanpak? stop deze waanzin!",1382678534292901888,2021-04-15 12:53:46,0,Utrecht,2021-04-15,"a billion more quickly, for which poor Netherlands will soon be able to cut back! where is the parliamentary inquiry re. the life-costing corona approach? stop this madness!",0.331,0.669,0.0,-0.8849,negative
804,"https://t.co/PKtZwEPWDf
Couchsurfer
Polarstepper
UNPROFOR-veteraan
Blijdorper
Rotterdammer 
Wine & gin tonic 
🇳🇱  🇱🇧  🏳️‍🌈 🇺🇳 🇪🇺","rotterdam blijdorp, nederland",die afname in 2020 komt toch 'gewoon' door corona?,1382678530929070080,2021-04-15 12:53:45,0,Rotterdam,2021-04-15,"that decrease in 2020 is 'just' due to corona, isn't it?",0.0,1.0,0.0,0.0,neutral
813,FvD member 🇳🇱 NEXIT NU 🏴‍☠️ ZZP-ER ☢ kernenergie YES ⛔ EU☠ Hollander 🦁 voorkeur: PVV,"rotterdam, nederland","oke dat zeg ik ook niet, zeker niet. ik hoop dat je het met mij eens kunt zijn dat het op z'n minst verdacht is dat de artsen uitsluitend volgens het who-protocol moeten werken bij corona-patienten?",1382678346430091266,2021-04-15 12:53:01,0,Rotterdam,2021-04-15,"okay I don't say that either, certainly not. I hope you can agree with me that it is at least suspicious that the doctors have to work exclusively according to the who protocol on corona patients?",0.121,0.712,0.167,0.2249,positive
822,Officieel kanaal van het ministerie van Buitenlandse Zaken 🇳🇱 | Reisadviezen: volg @247BZ | Tweets in English: follow @DutchMFA,den haag,"beste eric, de vliegverboden voor passagiersvluchten naar nl uit zuid-afrika en landen in midden- en zuid-amerika zijn verlengd tot 1 mei. meer informatie kun je vinden op: ^sd",1382678112207536132,2021-04-15 12:52:05,0,Den Haag,2021-04-15,"Dear Eric, the flight bans for passenger flights to NL from South Africa and countries in Central and South America have been extended until 1 May. more information can be found at: ^ sd",0.0,0.923,0.077,0.3818,positive
826,"Werkzaam bij apothekersorganisatie @KNMP ⚕ | Tweet over rol apothekers bij vaccineren, geneesmiddelen en Kamerwerk van VWS-commissie | 💊➡️ Bezoek https://t.co/fT8loPklE3","den haag, the netherlands","eerder sprak minister al een woord van dank uit richting apothekers voor hun hulp bij vervoer, ompakken en voorbereiden van vaccins. zie ook de praktijkverhalen op de website van de",1382677870905065475,2021-04-15 12:51:07,0,Den Haag,2021-04-15,"the minister had already expressed his thanks to pharmacists for their help with transport, repackaging and preparation of vaccines. see also the practical stories on the website of the",0.0,0.828,0.172,0.6808,positive
839,Tegen het gematigde leven,amsterdam,"wel handig, zo’n sneltestje van de etos. 6,99, na 20 min weet je of je naar je werkafspraak kan gaan. (ik twijfelde wel even of je er overheen moest piesen 😂 en of de c niet voor corona staat. maar die staat voor check)",1382677377239617537,2021-04-15 12:49:10,0,Amsterdam,2021-04-15,"handy, such a quick test of the etos. 6.99, after 20 minutes you know if you can go to your work appointment. (I doubted whether you should piss over it 😂 and whether the c is not for corona, but that stands for check)",0.08,0.92,0.0,-0.34,negative
859,Adviseur Public Affairs Patiëntenfederatie Nederland,"utrecht, nederland",pvv pleit voor het opnemen van kwetsbare mensen in de richtlijn van over de inzet van surplus vaccinaties; sluit kwetsbare mensen daarbij niet op voorhand uit #corona #coronadebat,1382676947524800514,2021-04-15 12:47:27,2,Utrecht,2021-04-15,PVV advocates including vulnerable people in the guideline on the use of surplus vaccinations; Do not exclude vulnerable people in advance #corona #coronadebat,0.149,0.785,0.065,-0.281,negative
861,"I hear and I forget. I see and I remember. I do and I understand.
~ Confucius","den haag, nederland",dankzij die markt zijn de vaccins tegen corona ontwikkeld..,1382676865689780224,2021-04-15 12:47:08,0,Den Haag,2021-04-15,"thanks to this market, the vaccines against corona have been developed.",0.0,0.775,0.225,0.4404,positive
880,"Intens gelukkig met @JPFGroot aka de #vinexmeneer, #TerrorEdje en #ObesiSammie in #020West. Fröbel er op los in mijn eigen Fröbelfabrique. Als het zo uitkomt.",amsterdam,"bij mij wekt het irritatie. zoon bijv woont nl grotendeels thuis sinds covid omdat hij door het verlies van z’n bijbaan nog wel zijn huur kan betalen, maar zijn boodschappen niet als hij niet flink gaat lenen.",1382676113768464391,2021-04-15 12:44:09,0,Amsterdam,2021-04-15,"it irritates me. his son, for example, lives mostly at home since covid because he can still pay his rent due to the loss of his side job, but not his groceries if he does not borrow a lot.",0.118,0.882,0.0,-0.4019,negative
882,Adviseur Public Affairs Patiëntenfederatie Nederland,"utrecht, nederland",cda stelt vragen over de aangepaste richtlijn over de inzet van surplus vaccinaties; waarom kunnen dat surplus via niet inzetten voor kwetsbare mensen?#corona #coronadebat,1382676079110987776,2021-04-15 12:44:00,4,Utrecht,2021-04-15,cda asks questions about the amended guideline on the use of surplus vaccinations; why can that surplus not be used for vulnerable people? #corona #coronadebat,0.073,0.927,0.0,-0.2263,negative
889,Ontwerper https://t.co/fxpuF7aypl en soms publicist https://t.co/n5ytumdqkt Tweets over Nederland / Turkije / Duitsland en van alles.,amsterdam,net als die mensen meestal in ook niet op covid zijn onderzocht.,1382675823845646336,2021-04-15 12:42:59,0,Amsterdam,2021-04-15,just like those people usually have not been tested for covid either.,0.0,0.815,0.185,0.3612,positive
890,"Amerikaanse, nu Rotterdam❤️but still proud to be🇺🇸 It feels good to be lost in the right direction. Laat mij mijn mening geven. Use soft words& hard arguments","rotterdam, nederland",steeds meer bedrijven doen niet mee met de #vaccinatie of #coronacheck en daar zijn mensen lyrisch over... leuke afleidingsmanoeuvre de 1.5 mtr en mondkapjes samenleving blijft acceptabel? #testen #corona #coronatest #coronatesting #coronavaccinaties,1382675812520972288,2021-04-15 12:42:57,0,Rotterdam,2021-04-15,more and more companies do not participate in the #vaccination or #coronacheck and people are lyrical about that ... nice diversion maneuver the 1.5 mtr and masks society remains acceptable? #testing #corona #corona test #corona testing #corona vaccinations,0.0,0.876,0.124,0.6249,positive
903,I don't tweet a lot.,"utrecht, the netherlands","whataboutism, want: cholera infecties in nl: 0 per jaar. tyfus infecties in nl: 550 per jaar. covid-19 infecties in nl: 1300000 per jaar.",1382675496736071683,2021-04-15 12:41:41,0,Utrecht,2021-04-15,"whataboutism, because: cholera infections in nl: 0 per year. typhoid infections in nl: 550 per year. covid-19 infections in nl: 1,300,000 per year.",0.0,1.0,0.0,0.0,neutral
906,De Vereniging Innovatieve Geneesmiddelen is de brancheorganisatie van innovatieve geneesmiddelenbedrijven. Deze ontwikkelen de medicijnen voor morgen.,den haag,"weer een mijlpaal: ruim 4 miljoen prikken gezet in nederland. op weg naar een mooie, gezonde zomer! bron: #covid #vaccin #coronavaccinatie",1382675390175543304,2021-04-15 12:41:16,1,Den Haag,2021-04-15,"another milestone: more than 4 million injections taken in the Netherlands. on the way to a beautiful, healthy summer! source: #covid #vaccine #corona vaccination",0.0,0.744,0.256,0.784,positive
928,"Sound, Music and ‘Syntablism’ artist - A true synergy of modular synthesis & scratching. 
Inquiries: kypski@gmail.com 
New Music & Patreon:👇🏽",utrecht,- zoals je hier kunt nagaan:,1382674517017956353,2021-04-15 12:37:48,0,Utrecht,2021-04-15,- as you can check here:,0.0,1.0,0.0,0.0,neutral
931,"Sound, Music and ‘Syntablism’ artist - A true synergy of modular synthesis & scratching. 
Inquiries: kypski@gmail.com 
New Music & Patreon:👇🏽",utrecht,"nee, hij vindt dat iedereen 'rekening zou moeten houden' met elkaar door zich aan de maatregelen te houden, kinderen en volwassenen, plus speelt de overbelasting van de zorg ook nog een zeer grote rol en is covid nieuw itt de 'gewone' griep, wat een groot belangrijk verschil is -",1382674393646694400,2021-04-15 12:37:18,0,Utrecht,2021-04-15,"no, he thinks that everyone 'should take into account' each other by adhering to the measures, children and adults, plus the overburdening of care also plays a very large role and covid is new compared to the 'normal' flu, which is a big important difference -",0.096,0.763,0.141,0.296,positive
937,"http://t.co/pUHd9H7JhM is HET platform voor journalistiek en media en biedt in de niche van internet,marcom,journalistiek & sales,een groot & kwalitatief bereik",amsterdam,"medior webredacteur - ministerie van justitie en veiligheid, vanuit huis i.v.m. corona #vacature",1382674083079356418,2021-04-15 12:36:04,0,Amsterdam,2021-04-15,"medior web editor - Ministry of Justice and Security, from home i.v.m. corona #vacancy",0.0,0.655,0.345,0.7003,positive
939,Redacteur NRC Media e.konig@nrc.nl,rotterdam,"de rotterdamse stadstekenaars van 2021 zijn bekend: gemma plum, funs janssen (‘funzig’) en gwen stok. ze gaan de stad in coronatijd in beeld brengen. hun tekeningen worden geëxposeerd in de kunsthal en opgenomen in het stadsarchief.",1382674021276389377,2021-04-15 12:35:50,0,Rotterdam,2021-04-15,"the rotterdam city artists of 2021 are known: gemma plum, funs janssen (""funzig"") and gwen stok. they will portray the city in corona time. their drawings are exhibited in the art hall and included in the city archives.",0.0,1.0,0.0,0.0,neutral
945,"Advocaat horeca: gespecialiseerd in horecarecht, bestuursrecht, civiel recht en evenementen.",amsterdam,meester advocaten legt uit: huurkorting in a-b-c-huurrelaties,1382673913973473283,2021-04-15 12:35:24,0,Amsterdam,2021-04-15,master lawyers explains: rent discount in a-b-c rental relationships,0.0,1.0,0.0,0.0,neutral
948,"Amsterdam, Jacht, Ajax, Golf, JA21 voor realistische rechtse mensen die begrijpen dat je met schreeuwen aan de zijlijn niet verder komt.","amsterdam, nederland","behalve als je corona krijgt of een geliefde uit je gezin. dan zeg je natuurlijk bai bai, had ik hem nou toch maar genemen.",1382673769962037253,2021-04-15 12:34:50,0,Amsterdam,2021-04-15,"unless you get corona or a loved one from your family. then of course you say bai bai, if only I had taken him.",0.0,0.843,0.157,0.5994,positive
981,"Zero Incidents, Zero Accidents, Positive Impact, Safety & Prosperity. Compassie. Persoonlijke titel.",rotterdam,"niet zeker of dit helpt, ter info dus, maar op de website van staat onder kopje bemanning een recente update rondom de regels.",1382672713274249217,2021-04-15 12:30:38,0,Rotterdam,2021-04-15,"not sure if this helps, so for your information, but on the website of the crew there is a recent update on the rules.",0.061,0.865,0.074,0.0821,positive
982,Verloskundige in ruste. Neerlandica. Betrokken bij mensen en politiek. Vrijwilliger Voedselbank Amsterdam. Strijdbaar tegen onrecht en (sluipend) fascisme,amsterdam,nou als het klop dan moet jij dat even uitleggen. de prevalentie van de ernstige bijwerking van astra en janssen is kleiner dan de kans dat je ernstig ziek wordt van covid. dat is een feit!,1382672653081796609,2021-04-15 12:30:23,0,Amsterdam,2021-04-15,well if it is right then you have to explain. The prevalence of the serious side effect of Astra and Janssen is less than the chance that you will become seriously ill from Covid. that's a fact!,0.149,0.757,0.094,-0.3084,negative
